case,k_pi,nh_from,nh_to,eta,delta_E,delta_Z,spectral_l1,rest_spectral_l1,recursion_l1,reference_certified
B,1.0,12,14,0.05,0.00010550611128845588,5.715192491567364e-05,0.09851157177570675,0.10053887438651082,0.01041160931558461,False
B,1.0,12,14,0.025,0.00010550611128845588,5.715192491567364e-05,0.2004581855868519,0.20452713178552598,0.10594359847826688,False
B,1.0,12,14,0.1,0.00010550611128845588,5.715192491567364e-05,0.03270141255779368,0.033399810568196554,0.00011784738673299652,False
B,1.0,12,14,0.2,0.00010550611128845588,5.715192491567364e-05,0.005627188183743089,0.005779507019226314,2.277730818108884e-08,False
B,1.0,14,16,0.05,2.495658469348072e-05,1.6958005244316343e-05,0.06733554303569722,0.06871459258310726,0.0002815996452044193,False
B,1.0,14,16,0.025,2.495658469348072e-05,1.6958005244316343e-05,0.15176310378701074,0.1548568741942569,0.016386659731562704,False
B,1.0,14,16,0.1,2.495658469348072e-05,1.6958005244316343e-05,0.01910311894086303,0.019500075458483937,1.1772226022207682e-07,False
B,1.0,14,16,0.2,2.495658469348072e-05,1.6958005244316343e-05,0.0024109150212144317,0.0024712664489485374,5.5695625852556195e-14,True
B,1.0,16,18,0.05,5.9122826401303286e-06,4.843493691602391e-06,0.049144499611048414,0.05014704435895216,0.0005207680622722776,False
B,1.0,16,18,0.025,5.9122826401303286e-06,4.843493691602391e-06,0.12101697436070902,0.12348531773805697,0.023203933882022628,False
B,1.0,16,18,0.1,5.9122826401303286e-06,4.843493691602391e-06,0.011347141708129727,0.011579480529918288,3.659886293255421e-07,False
B,1.0,16,18,0.2,5.9122826401303286e-06,4.843493691602391e-06,0.0010365904062644173,0.0010607827921201155,4.66145449229791e-13,True
B,1.0,18,20,0.05,1.3996618786205062e-06,1.3432990373409004e-06,0.033305912589549416,0.03398411011800563,9.386544785108772e-06,False
B,1.0,18,20,0.025,1.3996618786205062e-06,1.3432990373409004e-06,0.0961884957909395,0.09815023950518077,0.002819416024751991,False
B,1.0,18,20,0.1,1.3996618786205062e-06,1.3432990373409004e-06,0.005524340223752052,0.005636801493822705,1.9681355706363487e-10,False
